Computer Artworks,Vivendi Games
Saffire,Activision
Nintendo/Camelot Software Planning,Nintendo
Team 17/Two Tribes,THQ
Square Enix/TOSE,Square Enix
Kuju Entertainment,Ubisoft
Humagade,Activision
Q Entertainment,Ubisoft
Tri-Crescendo,Atari
Tenyo,Nintendo
LucasArts/Krome Studios,LucasArts
Idea Factory/Compile Heart,Tecmo Koei
Kamui,Namco Bandai Games
Ubisoft/Sensory Sweep,Ubisoft
War Drum Studios,Atari
TOYBOX,Rising Star Games
Sunrise Interactive,Namco Bandai Games
Hijinx Studios,Warner Bros. Interactive Entertainment
Game Machine Studios,THQ
Mastiff,Mastiff
Gust,Nippon Ichi Software
Ritual Entertainment/Avalanche Software,Eidos Interactive
D3Publisher,D3Publisher
Psygnosis,Psygnosis
Armature Studio,Warner Bros. Interactive Entertainment
RedLynx,Ubisoft
Creat Studios,Zoo Digital Publishing
Phoenix Games Studio,Ubisoft
Nintendo/Intelligent Systems,Nintendo
Telegames,Telegames
Bluehole Studio,Unknown
Spike Chunsoft,Screenlife
Red Storm Entertainment/Ubisoft Montreal,Ubisoft
Saber Interactive,Vivendi Games
Idol Minds,Sony Computer Entertainment
Maximum Games,Focus Home Interactive
Knowledge Adventure Inc.,Knowledge Adventure
Harmonix Music Systems/Demiurge Studios,MTV Games
Shift,Namco Bandai Games
Torus Games,Activision
Triumph Studios,Codemasters
DONTNOD Entertainment,Square Enix
Twisted Pixel Games,Microsoft Game Studios
Zoo Games,Zoo Games
Zen Studios,Atari
Victor Interactive Software,Unknown
Frogwares/Mistic Software,Focus Home Interactive
Firebrand Games,Sega
Prope,Namco Bandai Games
Wow Entertainment,Sega
Monolith Soft/Banpresto,Namco Bandai Games
Sega Studios San Francisco,Sega
Ganbarion,Namco Bandai Games
Milestone S.r.l,Capcom
Red Tribe,Warner Bros. Interactive Entertainment
Red Zone Entertainment,Sony Computer Entertainment
Amuze,Sega
Uacari,Avanquest
Bugbear,Empire Interactive
Cyberlore Studios,Atari
Lightning Fish Games,Black Bean Games
Crafts & Meister,Atari
Open Sesame,Natsume
3DO,3DO
Blueside,Microsoft Game Studios
Arcade Moon,Destineer
Noise Inc.,Nintendo
2K Games,Take-Two Interactive
Psyonix,505 Games
Playbox Limited,Ubisoft
Takara Tomy,Takara Tomy
KCEO,Konami Digital Entertainment
Zombie Studios,Konami Digital Entertainment
Bandai Namco Games/Artdink,Namco Bandai Games
Pax Softonica,Nintendo
Zener Works,Sony Computer Entertainment
RED Entertainment/Spike Chunsoft,Nintendo
Cattle Call,Sony Computer Entertainment
Inland Productions,Midway Games
Take-Two Interactive,Take-Two Interactive
CokeM Interactive,Scholastic Inc.
ITL,Nintendo
Sandlot,D3Publisher
Hypnotix,Global Star
Vir2L Studios,Bethesda Softworks
Airtight Games,Capcom
Deep Silver Dambuster Studios,Deep Silver
WildTangent,Microsoft Game Studios
Destination Software,Zoo Digital Publishing
Brash Entertainment,Brash Entertainment
Haemimont,Kalypso Media
High Voltage Software/Backbone Entertainment,Global Star
Nadeo,Ubisoft
Impulse Games,THQ
Sennari Interactive,Atari
Gas Powered Games,Square Enix
Tantatus,THQ
Starfish,505 Games
Buena Vista Interactive,Disney Interactive Studios
Cohort Studios,Sony Computer Entertainment
Ubisoft/Powerhead Games,Ubisoft
EA Canada/EA Vancouver,Electronic Arts
Inti Creates,Capcom
Fizz Factor,Majesco Entertainment
Ion Storm,Eidos Interactive
SNK Playmore,Rising Star Games
Smart Bomb Interactive,Activision
Amaze Entertainment/Griptonite Games,Activision
